elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,server,serve_no,p1_points_won,p2_points_won,p1_ace,p2_ace,p1_winner,p2_winner,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,p1_trend,p2_trend,past_time,point_no_to_start,p1_place_ge,p1_place_le,last_time,serve_width_BC,serve_width_BW,serve_width_C,serve_width_W,serve_depth_NCTL,return_depth_ND,p1_break_pt*server,p2_break_pt*server,p1_place_ge*server,p1_place_le*server,p1_sets*server,p2_sets*server,p1_games*server,p2_games*server,past_time*server,p2_trend*server,p1_trend*server,set_no*server,game_no*server,point_no_to_start*server
0.0,1,1,1,0,0,0,0,1,2,0,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0,7.84,2.0,95.0,0.0,0.0,0.0,0,0,0,0.0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
0.6333333333333333,1,1,2,0,0,0,0,1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.0,7.84,2.0,95.0,0.0,0.0,0.6333333333333333,1,0,1,0.0,1,0,0,0,1,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6333333333333333,0.0,0.0,1.0,1.0,1.0
1.0166666666666666,1,1,3,0,0,0,0,1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.253,7.094,1.0,118.0,1.0,-1.0,1.0166666666666666,2,0,0,0.6333333333333333,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0166666666666666,-1.0,1.0,1.0,1.0,2.0
1.5166666666666666,1,1,4,0,0,0,0,1,1,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,13.8,19.808,4.0,120.0,1.0,-1.0,1.5166666666666666,3,0,1,0.3833333333333333,0,0,0,0,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.5166666666666666,-1.0,1.0,1.0,1.0,3.0
2.35,1,1,5,0,0,0,0,1,1,3,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,51.108,75.631,13.0,130.0,2.0,-2.0,2.35,4,0,0,0.5,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.35,-2.0,2.0,1.0,1.0,4.0
2.8333333333333335,1,1,6,0,0,0,0,1,2,3,3,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.649,0.813,1.0,112.0,3.0,-3.0,2.8333333333333335,5,1,0,0.8333333333333335,0,0,0,1,1,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.8333333333333335,-3.0,3.0,1.0,1.0,5.0
3.55,1,1,7,0,0,0,0,1,1,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,5.291,4.249,2.0,97.0,3.0,-3.0,3.55,6,0,0,0.4833333333333334,0,1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.55,-3.0,3.0,1.0,1.0,6.0
4.016666666666667,1,1,8,0,0,0,0,1,2,4,4,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,6.817,17.821,1.0,109.0,4.0,-4.0,4.016666666666667,7,1,0,0.7166666666666663,0,0,0,1,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.016666666666667,-4.0,4.0,1.0,1.0,7.0
4.8,1,1,9,0,0,0,0,1,1,5,4,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0,0,0.0,0.0,0.0,0.0,17.503,18.067,6.0,105.0,4.0,-4.0,4.8,8,0,0,0.4666666666666668,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.8,-4.0,4.0,1.0,1.0,8.0
5.533333333333333,1,1,10,0,0,0,0,1,1,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,34.489,24.594,7.0,128.0,5.0,-5.0,5.533333333333333,9,1,0,0.7833333333333332,1,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.533333333333333,-5.0,5.0,1.0,1.0,9.0
