station_id,arrival_time,passenger_count_before,boarding_count,alighting_count,departure_time,residence_time,passenger_count_after,utilization_rate
0.0,50400.0,0.0,0.0,0.0,50400.0,0.0,0.0,0.0
1.0,50496.6,0.0,3.0,0.0,50500.93343200132,4.333432001323672,3.0,0.03333333333333333
2.0,50617.233432001325,3.0,8.0,0.0,50631.04628278887,13.812850787544448,11.0,0.12222222222222222
3.0,50736.24628278887,11.0,1.0,0.0,50738.27576723614,2.029484447273717,12.0,0.13333333333333333
4.0,50799.97576723614,12.0,2.0,2.0,50804.037194745884,4.0614275097468635,12.0,0.13333333333333333
5.0,50888.23719474588,12.0,0.0,0.0,50888.23719474588,0.0,12.0,0.13333333333333333
6.0,50964.037194745884,12.0,0.0,0.0,50964.037194745884,0.0,12.0,0.13333333333333333
7.0,51068.537194745884,12.0,0.0,1.0,51071.207949926866,2.6707551809813594,11.0,0.12222222222222222
8.0,51177.00794992687,11.0,2.0,1.0,51179.52493069042,2.5169807635538746,12.0,0.13333333333333333
9.0,51297.52493069042,12.0,0.0,2.0,51300.147151716345,2.6222210259220446,10.0,0.1111111111111111
10.0,51365.34715171634,10.0,0.0,1.0,51367.43900153583,2.091849819487834,9.0,0.1
11.0,51495.43900153583,9.0,5.0,0.0,51505.063874361105,9.624872825275816,14.0,0.15555555555555556
12.0,51620.563874361105,14.0,1.0,1.0,51623.595126169916,3.031251808810339,14.0,0.15555555555555556
13.0,51731.29512616991,14.0,0.0,3.0,51735.7403289407,4.445202770788455,11.0,0.12222222222222222
14.0,51792.9403289407,11.0,0.0,0.0,51792.9403289407,0.0,11.0,0.12222222222222222
15.0,51897.4403289407,11.0,0.0,0.0,51897.4403289407,0.0,11.0,0.12222222222222222
16.0,51972.2403289407,11.0,0.0,0.0,51972.2403289407,0.0,11.0,0.12222222222222222
17.0,52041.6403289407,11.0,0.0,0.0,52041.6403289407,0.0,11.0,0.12222222222222222
18.0,52169.6403289407,11.0,0.0,0.0,52169.6403289407,0.0,11.0,0.12222222222222222
19.0,52267.3403289407,11.0,0.0,0.0,52267.3403289407,0.0,11.0,0.12222222222222222
20.0,52405.3403289407,11.0,0.0,0.0,52405.3403289407,0.0,11.0,0.12222222222222222
21.0,52543.3403289407,11.0,0.0,0.0,52543.3403289407,0.0,11.0,0.12222222222222222
22.0,52691.3403289407,11.0,0.0,1.0,52693.12336536739,1.7830364266919787,10.0,0.1111111111111111
23.0,52756.62336536739,10.0,0.0,0.0,52756.62336536739,0.0,10.0,0.1111111111111111
24.0,52856.62336536739,10.0,0.0,0.0,52856.62336536739,0.0,10.0,0.1111111111111111
25.0,52911.72336536739,10.0,0.0,1.0,52913.06535258026,1.341987212872482,9.0,0.1
26.0,53091.06535258026,9.0,0.0,0.0,53091.06535258026,0.0,9.0,0.1
27.0,53219.06535258026,9.0,0.0,2.0,53225.35189503232,6.286542452056892,7.0,0.07777777777777778
28.0,53334.05189503232,7.0,0.0,0.0,53334.05189503232,0.0,7.0,0.07777777777777778
29.0,53452.05189503232,7.0,0.0,0.0,53452.05189503232,0.0,7.0,0.07777777777777778
30.0,53558.651895032315,7.0,0.0,0.0,53558.651895032315,0.0,7.0,0.07777777777777778
31.0,53696.651895032315,7.0,0.0,1.0,53698.08371003463,1.4318150023173075,6.0,0.06666666666666667
32.0,53826.08371003463,6.0,0.0,0.0,53826.08371003463,0.0,6.0,0.06666666666666667
33.0,53931.18371003463,6.0,0.0,0.0,53931.18371003463,0.0,6.0,0.06666666666666667
34.0,54025.983710034634,6.0,0.0,3.0,54032.09725415743,6.113544122796156,3.0,0.03333333333333333
35.0,54147.89725415743,3.0,0.0,2.0,54150.07715758487,2.179903427437239,1.0,0.011111111111111112
36.0,54348.07715758487,1.0,0.0,0.0,54348.07715758487,0.0,1.0,0.011111111111111112
37.0,54566.07715758487,1.0,0.0,0.0,54566.07715758487,0.0,1.0,0.011111111111111112
38.0,54734.07715758487,1.0,0.0,0.0,54734.07715758487,0.0,1.0,0.011111111111111112
39.0,54962.07715758487,1.0,0.0,0.0,54962.07715758487,0.0,1.0,0.011111111111111112
40.0,55130.07715758487,1.0,0.0,1.0,55132.69740888706,2.620251302192628,0.0,0.0
41.0,55260.69740888706,0.0,0.0,0.0,55260.69740888706,0.0,0.0,0.0
42.0,55378.69740888706,0.0,0.0,0.0,55378.69740888706,0.0,0.0,0.0
43.0,55439.69740888706,0.0,0.0,0.0,55439.69740888706,0.0,0.0,0.0
44.0,55525.19740888706,0.0,0.0,0.0,55525.19740888706,0.0,0.0,0.0
45.0,55592.497408887066,0.0,0.0,0.0,55592.497408887066,0.0,0.0,0.0
46.0,55653.097408887064,0.0,0.0,0.0,55653.097408887064,0.0,0.0,0.0
47.0,55791.097408887064,0.0,0.0,0.0,55791.097408887064,0.0,0.0,0.0
48.0,55876.19740888706,0.0,0.0,0.0,55876.19740888706,0.0,0.0,0.0
,,,,0.0,,,,
